datetime,opt_type,short_opt_code,short_opt_volume,short_opt_price,short_opt_delta,long_opt_code,long_opt_volume,long_opt_price,long_opt_delta,profit_spread,money_ocupied,expected_return
2015-02-10 13:04:00,Call,10000001,10,0.206,0.7033,10000004,13,0.1055,0.5461,712.9977,59947.0,0.0119
2015-02-10 13:05:00,Call,10000001,10,0.2054,0.7033,10000004,13,0.1055,0.5461,652.7575,59947.0,0.0109
2015-02-10 13:06:00,Call,10000001,10,0.2054,0.7033,10000004,13,0.1055,0.5461,652.5172,59947.0,0.0109
2015-02-10 13:07:00,Call,10000001,10,0.2072,0.7042,10000004,13,0.1049,0.5471,904.0479,59869.0,0.0151
2015-02-10 13:08:00,Call,10000001,10,0.2072,0.7014,10000004,13,0.1049,0.5439,922.7381,59869.0,0.0154
2015-02-10 13:10:00,Call,10000003,10,0.1373,0.5974,10000004,11,0.1049,0.5439,519.9656,51811.0,0.01
2015-02-10 13:11:00,Call,10000001,10,0.2051,0.7042,10000004,13,0.1054,0.5471,628.0827,59934.0,0.0105
2015-02-10 13:12:00,Call,10000001,10,0.2051,0.7052,10000004,13,0.106,0.5482,543.6886,60012.0,0.0091
2015-02-10 13:13:00,Call,10000001,10,0.2085,0.708,10000004,13,0.107,0.5514,735.4738,60142.0,0.0122
2015-02-10 13:14:00,Call,10000001,10,0.2085,0.707,10000004,13,0.107,0.5503,741.1387,60142.0,0.0123
2015-02-10 13:15:00,Call,10000001,10,0.2083,0.7071,10000004,13,0.107,0.5503,720.8945,60142.0,0.012
2015-02-10 13:16:00,Call,10000001,10,0.2083,0.7089,10000004,13,0.107,0.5524,708.9083,60142.0,0.0118
2015-02-10 13:17:00,Call,10000001,10,0.2083,0.7089,10000004,13,0.107,0.5524,708.6622,60142.0,0.0118
2015-02-10 13:19:00,Call,10000001,10,0.2086,0.7126,10000002,11,0.1668,0.6622,667.6214,64580.0,0.0103
2015-02-10 13:21:00,Call,10000001,10,0.2108,0.7153,10000002,11,0.1668,0.6651,888.4256,64580.0,0.0138
2015-02-10 13:23:00,Call,10000001,10,0.2093,0.7117,10000002,11,0.1668,0.6612,736.9789,64580.0,0.0114
2015-02-10 13:24:00,Call,10000001,10,0.2088,0.7117,10000002,11,0.1691,0.6612,433.8856,64833.0,0.0067
2015-02-10 13:25:00,Call,10000001,10,0.2088,0.7126,10000002,11,0.1691,0.6622,434.0608,64833.0,0.0067
2015-02-10 13:26:00,Call,10000001,10,0.2088,0.7126,10000002,11,0.1691,0.6622,433.9674,64833.0,0.0067
2015-02-10 13:30:00,Call,10000001,10,0.2128,0.7172,10000005,14,0.0867,0.5089,571.9366,58370.0,0.0098
2015-02-10 13:31:00,Call,10000002,10,0.1766,0.6671,10000005,13,0.0871,0.5089,467.6761,53905.0,0.0087
2015-02-10 13:32:00,Call,10000001,10,0.2128,0.7154,10000003,12,0.1405,0.613,444.2752,63092.0,0.007
2015-02-10 13:34:00,Call,10000001,10,0.2119,0.7136,10000005,14,0.086,0.5046,621.7867,58272.0,0.0107
2015-02-10 13:35:00,Call,10000001,10,0.2086,0.7127,10000003,12,0.1366,0.6099,496.2339,62624.0,0.0079
2015-02-10 13:36:00,Call,10000041,14,0.0678,0.4525,10000003,10,0.1393,0.6109,167.1403,44767.8,0.0037
2015-02-10 13:37:00,Call,10000001,10,0.2101,0.7127,10000005,14,0.086,0.5035,451.9146,58272.0,0.0078
2015-02-10 13:38:00,Call,10000001,10,0.209,0.7118,10000003,12,0.1364,0.6089,561.3153,62600.0,0.009
2015-02-10 13:39:00,Call,10000001,10,0.2085,0.7109,10000003,12,0.1364,0.6078,512.8165,62600.0,0.0082
2015-02-10 13:40:00,Call,10000001,10,0.208,0.71,10000003,12,0.1364,0.6068,464.3778,62600.0,0.0074
2015-02-10 13:41:00,Call,10000001,10,0.2081,0.71,10000003,12,0.1364,0.6068,474.1993,62600.0,0.0076
2015-02-10 13:42:00,Call,10000004,11,0.1126,0.5566,10000003,10,0.1364,0.6099,448.5573,52681.2,0.0085
2015-02-10 13:43:00,Call,10000001,10,0.2081,0.71,10000041,16,0.0644,0.4482,518.5589,56536.0,0.0092
2015-02-10 13:44:00,Call,10000001,10,0.2078,0.7054,10000004,13,0.1052,0.5481,909.9249,59908.0,0.0152
2015-02-10 13:45:00,Call,10000001,10,0.206,0.7035,10000004,13,0.1052,0.546,742.1314,59908.0,0.0124
2015-02-10 13:46:00,Call,10000001,10,0.206,0.7054,10000004,13,0.1047,0.5481,794.4391,59843.0,0.0133
2015-02-10 13:47:00,Call,10000001,10,0.206,0.7044,10000003,12,0.1331,0.6006,670.8257,62204.0,0.0108
2015-02-10 13:48:00,Call,10000001,10,0.206,0.7063,10000004,13,0.1055,0.5492,683.8477,59947.0,0.0114
2015-02-10 13:49:00,Call,10000001,10,0.206,0.7082,10000004,13,0.1055,0.5513,671.6364,59947.0,0.0112
2015-02-10 13:50:00,Call,10000001,10,0.206,0.71,10000002,11,0.1661,0.6593,481.0197,64503.0,0.0075
2015-02-10 13:51:00,Call,10000001,10,0.206,0.7082,10000002,11,0.1661,0.6574,480.6113,64503.0,0.0075
2015-02-10 13:52:00,Call,10000001,10,0.2047,0.7045,10000004,13,0.1068,0.547,396.1718,60116.0,0.0066
2015-02-10 13:53:00,Call,10000001,10,0.204,0.7017,10000004,13,0.1035,0.5438,773.9912,59687.0,0.013
2015-02-10 13:54:00,Call,10000001,10,0.2017,0.7036,10000005,14,0.0819,0.4927,296.7804,57698.0,0.0051
2015-02-10 13:56:00,Call,10000001,10,0.2071,0.7091,10000004,13,0.1074,0.5524,527.0482,60194.0,0.0088
2015-02-10 13:58:00,Call,10000001,10,0.2071,0.7054,10000004,13,0.1074,0.5481,550.5224,60194.0,0.0091
2015-02-10 13:59:00,Call,10000001,10,0.2071,0.7045,10000005,14,0.0829,0.4938,683.3284,57838.0,0.0118
2015-02-10 14:00:00,Call,10000001,10,0.2065,0.7055,10000004,13,0.105,0.5481,802.036,59882.0,0.0134
2015-02-10 14:01:00,Call,10000001,10,0.2068,0.7045,10000004,13,0.105,0.547,837.9921,59882.0,0.014
2015-02-10 14:03:00,Call,10000002,10,0.1651,0.6474,10000005,13,0.0805,0.4873,357.1621,53047.0,0.0067
2015-02-10 14:04:00,Call,10000001,10,0.2,0.6999,10000005,14,0.0805,0.4883,369.0941,57502.0,0.0064
2015-02-10 14:05:00,Call,10000003,10,0.1341,0.5985,10000004,11,0.104,0.5449,292.9262,51712.0,0.0057
